stt,unnamed_1,lĩnh_vực,so_bien_nhan,ngày_tiếp_nhận,han_tra,kêt_qua,ten_co_so,ten_chu_co_so,dia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_dau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
1657,,CT,h29.24-230224-0035,2023-04-20,2023-05-24,,đia điem kinh doanh winmart+ hcm 410 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,107/4a huong lo 80b,hiep thanh,12,,ban le nhom san pham theo danh muc,1657,2023-05-04,,,,,,đia điem kinh doanh winmart+ hcm 410 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,107/4a huong lo 80b,12,hiep thanh
1658,,YT,h29.24-230420-0006,2023-04-21,2023-05-24,,đia điem kinh doanh so 17 cong ty tnhh bluestar asia- bep an sacom - chip sang,kim dong sung,"lo t2-4, tang g va tang 9, khu cong nghe cao, đuong d1",tan phu,thu đuc,,kinh doanh dich vu an uong,1658,2023-05-04,,,,,,đia điem kinh doanh so 17 cong ty tnhh bluestar asia- bep an sacom - chip sang,"lo t2-4, tang g va tang 9, khu cong nghe cao, đuong d1",thu đuc,tan phu
1659,,YT,h29.24-230410-0247,2023-04-20,2023-05-23,,đia điem kinh doanh phuc long hcm 355 - ks - cong ty co phan phuc long heritage,pham thi thu huong,300b nguyen trong tuyen,1,tan binh,,kinh doanh dich vu an uong,1659,2023-05-04,,,,,,đia điem kinh doanh phuc long hcm 355 - ks - cong ty co phan phuc long heritage,300b nguyen trong tuyen,tan binh,1
1660,,YT,h29.24-230419-0256,2023-04-20,2023-05-23,,cong ty tnhh mot thanh vien đang yeu coffee va tra,vu van quyet,163 hoang hoa tham,13,tan binh,,kinh doanh dich vu an uong,1660,2023-05-04,,,,,,cong ty tnhh mot thanh vien đang yeu coffee va tra,163 hoang hoa tham,tan binh,13
1661,,YT,h29.24-230418-0052,2023-04-21,2023-05-25,,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang kichi kichi,ha thuc tu,"lo l1-03, tang l1 trung tam thuong mai maximark, so 15 -17 cong hoa",4,tan binh,,kinh doanh dich vu an uong,1661,2023-05-04,,,,,,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang kichi kichi,"lo l1-03, tang l1 trung tam thuong mai maximark, so 15 -17 cong hoa",tan binh,4
1662,,YT,h29.24-230417-0083,2023-04-21,2023-05-25,,cua hang kfc ly thuong kiet,pornchai thuratum,so 446-446a đuong ly thuong kiet,7,tan binh,,kinh doanh dich vu an uong,1662,2023-05-04,,,,,,cua hang kfc ly thuong kiet,so 446-446a đuong ly thuong kiet,tan binh,7
1663,,NN,h29.24-230312-0015,2023-04-21,2023-05-18,,cong ty co phan phat trien to yen viet nam vinbirdnest,,15 đuong ly nhon,an thoi đong,can gio,0314204205,so che to yen,1663,2023-05-04,,,,,,cong ty co phan phat trien to yen viet nam vinbirdnest,15 đuong ly nhon,can gio,an thoi đong
1664,,"CT, NN, YT",h29.24-230417-0161,2023-04-20,2023-05-24,,eb au co - cong ty tnhh eb tan phu,olivier bernard r.langlet,"khu can ho va trung tam thuong mai đong phuong, so 685 đuong au co",tan thanh,tan phu,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,1664,2023-05-04,,,,,,eb au co - cong ty tnhh eb tan phu,"khu can ho va trung tam thuong mai đong phuong, so 685 đuong au co",tan phu,tan thanh
1665,,NN,h29.24-230419-0044,2023-04-20,2023-05-17,,cong ty tnhh nong san đang khoi,,28/18b le thi hong,17,go vap,0315751627,"kinh doanh rau, cu, qua, trai cay",1665,2023-05-04,,,,,,cong ty tnhh nong san đang khoi,28/18b le thi hong,go vap,17
1666,,NN,h29.24-230419-0046,2023-04-20,2023-05-17,,cong ty tnhh đau tu thuong mai dich vu nong trai xanh,,"15 đuong so 1, khu dan cu cityland center hills",7,go vap,0314740580,"kinh doanh rau, cu, qua, trai cay",1666,2023-05-04,,,,,,cong ty tnhh đau tu thuong mai dich vu nong trai xanh,"15 đuong so 1, khu dan cu cityland center hills",go vap,7
1667,,"CT, NN, YT",h29.24-230403-0244,2023-04-20,2023-05-24,,cong ty tnhh mot thanh vien sai gon co.op go vap,pham trung kien,543/1 phan van tri,7,go vap,,"so che rau, cu, qua, thit, thuy san; ban le nhom san pham theo danh muc; kinh doanh dich vu an uong",1667,2023-05-04,,,,,,cong ty tnhh mot thanh vien sai gon co.op go vap,543/1 phan van tri,go vap,7
1668,,YT,h29.24-230418-0166,2023-04-21,2023-05-25,,đia điem kinh doanh so 3 – cong ty tnhh song ca phe,jang young,129 nguyen van luong,17,go vap,,kinh doanh dich vu an uong,1668,2023-05-04,,,,,,đia điem kinh doanh so 3 – cong ty tnhh song ca phe,129 nguyen van luong,go vap,17
1669,,CT,h29.24-230410-0135,2023-04-24,2023-05-26,,chi nhanh cong ty tnhh mot thanh vien thuc pham saigon co.op - cua hang co.op food cay tram,vo thi ngoc huong,246 nguyen van khoi,9,go vap,,ban le nhom san pham theo danh muc,1669,2023-05-04,,,,,,chi nhanh cong ty tnhh mot thanh vien thuc pham saigon co.op - cua hang co.op food cay tram,246 nguyen van khoi,go vap,9
1670,,YT,h29.24-230420-0128,2023-04-21,2023-05-24,,chi nhanh cong ty tnhh thuong mai - dich vu hoa mai,nguyen thi kim hieu,"lo c7-c9, đuong b, khu cong nghiep cat lai",thanh my loi,thu đuc,,kinh doanh dich vu an uong,1670,2023-05-04,,,,,,chi nhanh cong ty tnhh thuong mai - dich vu hoa mai,"lo c7-c9, đuong b, khu cong nghiep cat lai",thu đuc,thanh my loi
1671,,YT,h29.24-230331-0063,2023-04-24,2023-05-25,,đia điem kinh doanh so 8 - cong ty tnhh cloudeats vn,nguyen thanh nam,"so 53 đuong so 11, khu pho 3",an khanh,thu đuc,,kinh doanh dich vu an uong,1671,2023-05-04,,,,,,đia điem kinh doanh so 8 - cong ty tnhh cloudeats vn,"so 53 đuong so 11, khu pho 3",thu đuc,an khanh
1672,,YT,h29.24-230415-0113,2023-04-20,2023-05-24,,đia điem kinh doanh cong ty tnhh xuat nhap khau hurom juice cafe,nam jeoungguy,"l3-k1 trung tam thuong mai vincom mega mall thao đien, 161 xa lo ha noi",thao đien,thu đuc,,kinh doanh dich vu an uong,1672,2023-05-04,,,,,,đia điem kinh doanh cong ty tnhh xuat nhap khau hurom juice cafe,"l3-k1 trung tam thuong mai vincom mega mall thao đien, 161 xa lo ha noi",thu đuc,thao đien
1673,,YT,h29.24-230419-0193,2023-04-21,2023-05-24,,đia điem kinh doanh cong ty co phan okra group - nha hang fix,trinh kien cuong,02 le van mien,thao đien,thu đuc,,kinh doanh dich vu an uong,1673,2023-05-04,,,,,,đia điem kinh doanh cong ty co phan okra group - nha hang fix,02 le van mien,thu đuc,thao đien
1674,,YT,h29.24-230418-0070,2023-04-20,2023-05-24,,cua hang so 32 - cong ty tnhh banh ngot cj viet nam,kim jae young,162 nguyen gia tri,25,binh thanh,,kinh doanh dich vu an uong,1674,2023-05-04,,,,,,cua hang so 32 - cong ty tnhh banh ngot cj viet nam,162 nguyen gia tri,binh thanh,25
1675,,YT,h29.24-230421-0141,2023-04-24,2023-05-25,,chi nhanh cong ty tnhh thuong mai dich vu ca phe thuc,nguyen hoang ha,42 hoa phuong,2,phu nhuan,,kinh doanh dich vu an uong,1675,2023-05-04,,,,,,chi nhanh cong ty tnhh thuong mai dich vu ca phe thuc,42 hoa phuong,phu nhuan,2
1676,,YT,h29.24-230413-0143,2023-04-20,2023-05-24,,chi nhanh 12 - cong ty co phan viva star coffee,le thi ngoc thuy,702/1 su van hanh,12,10,,kinh doanh dich vu an uong,1676,2023-05-04,,,,,,chi nhanh 12 - cong ty co phan viva star coffee,702/1 su van hanh,10,12
1677,,YT,h29.24-230419-0198,2023-04-21,2023-05-24,,cong ty tnhh bbq zeong,nguyen thi kim sang,"tang 1, 17/26 le thanh ton",ben nghe,1,,kinh doanh dich vu an uong,1677,2023-05-05,,,,,,cong ty tnhh bbq zeong,"tang 1, 17/26 le thanh ton",1,ben nghe
1678,,YT,h29.24-230413-0099,2023-04-21,2023-05-25,,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang isushi,ha thuc tu,"lo so 1, tang 5, diamond plaza, 34 le duan",ben nghe,1,,kinh doanh dich vu an uong,1678,2023-05-05,,,,,,đia điem kinh doanh - chi nhanh cong ty co phan thuong mai dich vu cong vang (tp ha noi) – nha hang isushi,"lo so 1, tang 5, diamond plaza, 34 le duan",1,ben nghe
1679,,YT,h29.24-230420-0102,2023-04-21,2023-05-24,,đia điem kinh doanh 01 - cong ty co phan đau tu newfood,hoang minh hoai,02 cao thang,5,3,,kinh doanh dich vu an uong,1679,2023-05-05,,,,,,đia điem kinh doanh 01 - cong ty co phan đau tu newfood,02 cao thang,3,5
1680,,YT,h29.24-230420-0100,2023-04-21,2023-05-24,,đia điem kinh doanh 02 - cong ty co phan đau tu newfood,hoang minh hoai,306 nguyen thi minh khai,5,3,,kinh doanh dich vu an uong,1680,2023-05-05,,,,,,đia điem kinh doanh 02 - cong ty co phan đau tu newfood,306 nguyen thi minh khai,3,5
1681,,YT,h29.24-230419-0252,2023-04-21,2023-05-24,,chi nhanh cong ty tnhh anh em que nha - nha hang que nha,tran nhat ha,28 pham ngoc thach,vo thi sau,3,,kinh doanh dich vu an uong,1681,2023-05-05,,,,,,chi nhanh cong ty tnhh anh em que nha - nha hang que nha,28 pham ngoc thach,3,vo thi sau
1682,,YT,h29.24-230420-0025,2023-04-24,2023-05-25,,cua hang kfc le van sy,pornchai thuratum,so 407c-407d le van sy,12,3,,kinh doanh dich vu an uong,1682,2023-05-05,,,,,,cua hang kfc le van sy,so 407c-407d le van sy,3,12
1683,,NN,h29.24-230419-0115,2023-04-24,2023-05-19,,ho kinh doanh co so che bien thuc pham sach minh thanh,,"25/1b tay bac lan, ap bac lan",ba điem,hoc mon,41S8030547,"san xuat: cha lua, cha bo, cha chien",1683,2023-05-05,,,,,,ho kinh doanh co so che bien thuc pham sach minh thanh,"25/1b tay bac lan, ap bac lan",hoc mon,ba điem
1684,,NN,h29.24-230423-0007,2023-04-24,2023-05-19,,ho kinh doanh truong ngoc em,,"9/4d duong cong khi, ap 1",xuan thoi thuong,hoc mon,41S8014733,đong goi me,1684,2023-05-05,,,,,,ho kinh doanh truong ngoc em,"9/4d duong cong khi, ap 1",hoc mon,xuan thoi thuong
1685,,NN,h29.24-230420-0210,2023-04-21,2023-05-18,,cong ty tnhh thuong mai dich vu xuat nhap khau truong an,,"f8 cho đau moi nong san thuc pham hoc mon, ap my hoa 4",xuan thoi đong,hoc mon,0304627716,"kinh doanh rau, cu, qua",1685,2023-05-05,,,,,,cong ty tnhh thuong mai dich vu xuat nhap khau truong an,"f8 cho đau moi nong san thuc pham hoc mon, ap my hoa 4",hoc mon,xuan thoi đong
1686,,CT,h29.24-230420-0038,2023-04-21,2023-05-24,,đia điem kinh doanh winmart+ hcm 353 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,pham thi thu huong,33/4 trung my - tan xuan,tan xuan,hoc mon,,ban le nhom san pham theo danh muc,1686,2023-05-05,,,,,,đia điem kinh doanh winmart+ hcm 353 - chi nhanh ho chi minh - cong ty co phan dich vu thuong mai tong hop wincommerce,33/4 trung my - tan xuan,hoc mon,tan xuan
1687,,YT,h29.24-230420-0117,2023-04-24,2023-05-25,,chi nhanh cong ty tnhh thuong mai - dich vu hoa mai,nguyen thi kim hieu,"lo b4-3 đuong d4, khu cong nghiep tan phu trung",tan phu trung,cu chi,,kinh doanh dich vu an uong,1687,2023-05-05,,,,,,chi nhanh cong ty tnhh thuong mai - dich vu hoa mai,"lo b4-3 đuong d4, khu cong nghiep tan phu trung",cu chi,tan phu trung
1688,,YT,h29.24-230419-0076,2023-04-21,2023-05-24,,đia điem kinh doanh klt q7 - cong ty tnhh thuong mai - dich vu hoa mai,vo quang bao,"458/64 huynh tan phat, khu pho 2",binh thuan,7,,kinh doanh dich vu an uong,1688,2023-05-05,,,,,,đia điem kinh doanh klt q7 - cong ty tnhh thuong mai - dich vu hoa mai,"458/64 huynh tan phat, khu pho 2",7,binh thuan
1689,,YT,h29.24-230419-0091,2023-04-21,2023-05-24,,đia điem kinh doanh cong ty tnhh thuong mai - dich vu hoa mai,vo quang bao,"khu a, lo n, so 47b-49-51-53-55 va lo so 48b-50-52-54-56 đuong tan thuan, kcx tan thuan",tan thuan đong,7,,kinh doanh dich vu an uong,1689,2023-05-05,,,,,,đia điem kinh doanh cong ty tnhh thuong mai - dich vu hoa mai,"khu a, lo n, so 47b-49-51-53-55 va lo so 48b-50-52-54-56 đuong tan thuan, kcx tan thuan",7,tan thuan đong
1690,,YT,h29.24-230419-0101,2023-04-21,2023-05-24,,đia điem kinh doanh cong ty tnhh thuong mai - dich vu hoa mai,vo quang bao,"q. 01-03-05-13 đuong so 16, khu che xuat tan thuan",tan thuan đong,7,,kinh doanh dich vu an uong,1690,2023-05-05,,,,,,đia điem kinh doanh cong ty tnhh thuong mai - dich vu hoa mai,"q. 01-03-05-13 đuong so 16, khu che xuat tan thuan",7,tan thuan đong
1691,,YT,h29.24-230419-0130,2023-04-21,2023-05-24,,đia điem kinh doanh cong ty tnhh thuong mai - dich vu hoa mai,vo quang bao,"lo cr 15b-17-19-21-23-25-27a đuong so 16, khu che xuat tan thuan",tan thuan đong,7,,kinh doanh dich vu an uong,1691,2023-05-05,,,,,,đia điem kinh doanh cong ty tnhh thuong mai - dich vu hoa mai,"lo cr 15b-17-19-21-23-25-27a đuong so 16, khu che xuat tan thuan",7,tan thuan đong
1692,,CT,h29.24-230419-0009,2023-04-21,2023-05-25,,cong ty tnhh v&k products,nguyen thi thu ngan,"483/10 le van quoi, khu pho 6",binh tri đong a,binh tan,,"phoi tron, đong goi: bot lam banh, bot kem su, bot gia vi soup cha ca, sot banh gao",1692,2023-05-05,,,,,,cong ty tnhh v&k products,"483/10 le van quoi, khu pho 6",binh tan,binh tri đong a
1693,,CT,h29.24-230414-0094,2023-04-24,2023-05-26,,cua hang co.op food vision,vo thi ngoc huong,"tang tret, block c, khu dan cu tam nhin (tttm vision), 96 tran đai nghia",tan tao a,binh tan,,ban le nhom san pham theo danh muc,1693,2023-05-05,,,,,,cua hang co.op food vision,"tang tret, block c, khu dan cu tam nhin (tttm vision), 96 tran đai nghia",binh tan,tan tao a
1694,,NN,h29.24-230421-0236,2023-04-24,2023-05-19,,cong ty tnhh thuong mai xuat nhap khau orient nuts viet nam,,"8-10 đuong so 1, kdc ly chieu hoang",an lac,binh tan,0317764156,"đong goi: trai cay say, hat cac loai, ca phe, tra hoa tan, tra uop huong, banh, keo, đuong, sua bot, bot ca cao",1694,2023-05-05,,,,,,cong ty tnhh thuong mai xuat nhap khau orient nuts viet nam,"8-10 đuong so 1, kdc ly chieu hoang",binh tan,an lac
1695,,NN,h29.24-230414-0226,2023-04-24,2023-05-19,,chi nhanh cong ty tnhh hao nhi,,92/2 bui tu toan,an lac,binh tan,0317595596-001,"kinh doanh: thit bo, thuy san",1695,2023-05-05,,,,,,chi nhanh cong ty tnhh hao nhi,92/2 bui tu toan,binh tan,an lac
1696,,NN,h29.24-230411-0111,2023-04-20,2023-05-17,,cong ty tnhh đau tu xuat nhap khau đang khoa,,so 29/6 le đuc tho,7,go vap,0310000835,"đong goi hat kho, trai cay kho",1696,2023-05-05,,,,,,cong ty tnhh đau tu xuat nhap khau đang khoa,so 29/6 le đuc tho,go vap,7
1697,,YT,h29.24-230419-0171,2023-04-21,2023-05-25,,chi nhanh 14 - cong ty tnhh mot thanh vien teatime,nguyen thi thuan,so 50 ho tung mau,ben nghe,1,,kinh doanh dich vu an uong,1697,2023-05-05,,,,,,chi nhanh 14 - cong ty tnhh mot thanh vien teatime,so 50 ho tung mau,1,ben nghe
1698,,YT,h29.24-230418-0085,2023-04-21,2023-05-25,,đia điem kinh doanh so 1 - cong ty co phan nha hang yeebo,trinh hong quan,1 le thanh ton,ben nghe,1,,kinh doanh dich vu an uong,1698,2023-05-05,,,,,,đia điem kinh doanh so 1 - cong ty co phan nha hang yeebo,1 le thanh ton,1,ben nghe
1699,,NN,h29.24-230421-0233,2023-04-24,2023-05-19,,chi nhanh cong ty co phan quoc te hoa doanh,,140/28 ap 4,nhi binh,hoc mon,0317792160-001,"che bien: cac san pham tu thit, thuy hai san (tru đo hop), pho mai que, pho mai vien, hotdog, corndog, xoi; đong goi: thuy hai san kho",1699,2023-05-05,,,,,,chi nhanh cong ty co phan quoc te hoa doanh,140/28 ap 4,hoc mon,nhi binh
1700,,NN,h29.24-230420-0262,2023-04-21,2023-05-18,,chi nhanh cong ty co phan phan phoi koina,,39 đoan nhu hai,13,4,0316950897-003,kinh doanh trai cay,1700,2023-05-05,,,,,,chi nhanh cong ty co phan phan phoi koina,39 đoan nhu hai,4,13
1701,,NN,h29.24-230418-0184,2023-04-21,2023-05-18,,cong ty tnhh htx thuc pham gia cam tan phat,,"so 3, đuong so 7, kdc binh đang",6,8,0317592820,"kinh doanh: thit ga, thit vit tuoi song",1701,2023-05-09,,,,,,cong ty tnhh htx thuc pham gia cam tan phat,"so 3, đuong so 7, kdc binh đang",8,6
1702,,NN,h29.24-230419-0279,2023-04-24,2023-05-19,,ho kinh doanh ta viem minh,,640/655 nguyen duy,10,8,41H8007680,che bien: cha ca,1702,2023-05-09,,,,,,ho kinh doanh ta viem minh,640/655 nguyen duy,8,10
1703,,NN,h29.24-230420-0226,2023-04-24,2023-05-19,,ho kinh doanh long binh,,20 nguyen hau,tan thanh,tan phu,41X8025052,"che bien: kho bo, kho heo",1703,2023-05-09,,,,,,ho kinh doanh long binh,20 nguyen hau,tan phu,tan thanh
1704,,YT,h29.24-230424-0145,2023-04-25,2023-05-26,,cong ty tnhh dich vu nha hang am thuc anh em,truong thi thuy oanh,38 nguyen son,phu tho hoa,tan phu,,kinh doanh dich vu an uong,1704,2023-05-09,,,,,,cong ty tnhh dich vu nha hang am thuc anh em,38 nguyen son,tan phu,phu tho hoa
1705,,YT,h29.24-230420-0049,2023-04-24,2023-05-26,,cua hang kfc luy ban bich,pornchai thuratum,so 01 đuong vuon lai,phu tho hoa,tan phu,,kinh doanh dich vu an uong,1705,2023-05-09,,,,,,cua hang kfc luy ban bich,so 01 đuong vuon lai,tan phu,phu tho hoa
1706,,YT,h29.24-230424-0308,2023-04-25,2023-05-29,,chi nhanh 3 cong ty tnhh thuong mai dich vu nha hang hong thu,nguyen minh hieu,632 luy ban bich,tan thanh,tan phu,,kinh doanh dich vu an uong,1706,2023-05-09,,,,,,chi nhanh 3 cong ty tnhh thuong mai dich vu nha hang hong thu,632 luy ban bich,tan phu,tan thanh
1707,,NN,h29.24-230417-0209,2023-04-21,2023-05-18,,cong ty tnhh thuong mai va dich vu thuc pham food sai gon,,"d11/21c quach đieu, to 26, ap 4",vinh loc a,binh chanh,0316383736,"kinh doanh: thit, thuy san, rau, cu, qua, trung",1707,2023-05-09,,,,,,cong ty tnhh thuong mai va dich vu thuc pham food sai gon,"d11/21c quach đieu, to 26, ap 4",binh chanh,vinh loc a
1708,,YT,h29.24-230421-0081,2023-04-24,2023-05-25,,đia điem kinh doanh 202 - cong ty co phan dich vu ca phe cao nguyen,le thai anh,"mat bang kinh doanh dich vu an uong tai khu 4 tang loi vao khoa kham benh -benh vien nhi đong thanh pho: đia chi so 15,đuong vo tran chi, ap 1",tan kien,binh chanh,,kinh doanh dich vu an uong,1708,2023-05-09,,,,,,đia điem kinh doanh 202 - cong ty co phan dich vu ca phe cao nguyen,"mat bang kinh doanh dich vu an uong tai khu 4 tang loi vao khoa kham benh -benh vien nhi đong thanh pho: đia chi so 15,đuong vo tran chi, ap 1",binh chanh,tan kien
1709,,CT,h29.24-230413-0219,2023-04-24,2023-05-26,,cua hang co.opfood cc calla garden,vo thi ngoc huong,"can ho thuong mai dich vu t2-0.02 chung cu cao tang calla garden, khu dan cu greenlife-13c, khu đo thi moi nam thanh pho",phong phu,binh chanh,,ban le nhom san pham theo danh muc,1709,2023-05-09,,,,,,cua hang co.opfood cc calla garden,"can ho thuong mai dich vu t2-0.02 chung cu cao tang calla garden, khu dan cu greenlife-13c, khu đo thi moi nam thanh pho",binh chanh,phong phu
1710,,CT,h29.24-230425-0204,2023-04-26,2023-05-29,,chi nhanh cong ty tnhh mot thanh vien ky nghe thuc pham vikyfood viet nam,tran huynh nha quyen,"so 21 đuong tay lan, khu pho 7",binh tri đong a,binh tan,,san xuat mi soi,1710,2023-05-09,,,,,,chi nhanh cong ty tnhh mot thanh vien ky nghe thuc pham vikyfood viet nam,"so 21 đuong tay lan, khu pho 7",binh tan,binh tri đong a
1711,,YT,h29.24-230420-0045,2023-04-20,2023-05-23,,đia điem kinh doanh 3 - cong ty tnhh thuong mai phuc anh minh,pham thi nhung,"iag 29 khu vuc sanh quoc te đen canh trai, cang hang khong quoc te tan son nhat, 58 truong son",2,tan binh,,kinh doanh dich vu an uong,1711,2023-05-09,,,,,,đia điem kinh doanh 3 - cong ty tnhh thuong mai phuc anh minh,"iag 29 khu vuc sanh quoc te đen canh trai, cang hang khong quoc te tan son nhat, 58 truong son",tan binh,2
1712,,YT,h29.24-230420-0052,2023-04-20,2023-05-23,,đia điem kinh doanh 4 - cong ty tnhh thuong mai phuc anh minh,pham thi nhung,"id262a khu vuc sanh quoc te đi canh phai, cang hang khong quoc te tan son nhat, 58 truong son",2,tan binh,,kinh doanh dich vu an uong,1712,2023-05-09,,,,,,đia điem kinh doanh 4 - cong ty tnhh thuong mai phuc anh minh,"id262a khu vuc sanh quoc te đi canh phai, cang hang khong quoc te tan son nhat, 58 truong son",tan binh,2
1713,,YT,h29.24-230416-0002,2023-04-24,2023-05-25,,cong ty tnhh dich vu mh,ngo thi yen phuong,15b/18 le thanh ton,ben nghe,1,,kinh doanh dich vu an uong,1713,2023-05-09,,,,,,cong ty tnhh dich vu mh,15b/18 le thanh ton,1,ben nghe
1714,,CT,h29.24-230420-0109,2023-04-21,2023-05-25,,cua hang so 279 - cong ty tnhh vong tron đo,cheung yiu kwong,36-38 tran thai tong,15,tan binh,,ban le nhom san pham theo danh muc,1714,2023-05-10,,,,,,cua hang so 279 - cong ty tnhh vong tron đo,36-38 tran thai tong,tan binh,15
1715,,YT,h29.24-230420-0255,2023-04-24,2023-05-26,,cong ty tnhh nha hang bep viet nam,tran van cua,700 tran hung đao,2,5,,kinh doanh dich vu an uong,1715,2023-05-10,,,,,,cong ty tnhh nha hang bep viet nam,700 tran hung đao,5,2
1716,,"CT, YT",h29.24-230421-0197,2023-04-26,2023-05-30,,đia điem kinh doanh cong ty tnhh cua hang tien loi gia đinh viet nam - cua hang familymart gold view,kirimura akira,"khu 1, tang 1, khu trung tam thuong mai - du an the gold view, so 346 ben van đon",1,4,,ban le nhom san pham theo danh muc; kinh doanh dich vu an uong,1716,2023-05-10,,,,,,đia điem kinh doanh cong ty tnhh cua hang tien loi gia đinh viet nam - cua hang familymart gold view,"khu 1, tang 1, khu trung tam thuong mai - du an the gold view, so 346 ben van đon",4,1
1717,,YT,h29.24-230425-0196,2023-04-26,2023-05-30,,đia điem kinh doanh cong ty co phan am thuc nhat phong chau pho,huynh huu thanh phuong,158-160 hoang dieu,9,4,,kinh doanh dich vu an uong,1717,2023-05-10,,,,,,đia điem kinh doanh cong ty co phan am thuc nhat phong chau pho,158-160 hoang dieu,4,9
